라바, 55, 146
나아, 43, 160
가타, 91, 197
파파, 48, 199
카다, 53, 144
바사, 43, 197
마차, 96, 184
아다, 56, 165
다다, 85, 172
라나, 52, 165
자자, 72, 160
가다, 91, 196
파사, 61, 166
타아, 91, 142
파마, 70, 155
가차, 77, 178
라차, 77, 185
다사, 61, 144
라바, 73, 161
자하, 56, 149
바나, 82, 189
자사, 70, 160
자타, 59, 180
바파, 73, 159
하라, 65, 182
라아, 65, 180
나다, 86, 196
타사, 66, 146
차자, 71, 149
차아, 79, 166
바다, 84, 141
자라, 75, 159
라파, 77, 144
카바, 84, 182
나하, 57, 181
파라, 80, 195
카사, 79, 177
하나, 41, 175
마마, 96, 144
차마, 90, 163
가다, 97, 164
하나, 62, 168
하타, 56, 167
타타, 59, 165
다하, 87, 185
타사, 43, 180
나가, 90, 158
바라, 82, 174
하라, 91, 185
바다, 82, 153
차나, 65, 196
하사, 40, 143
아자, 76, 182
아사, 90, 197
하차, 73, 150
타아, 57, 193
아자, 68, 163
아마, 70, 198
바타, 66, 168
라타, 42, 159
타라, 67, 180
자사, 58, 171
가나, 86, 158
가바, 70, 167
아파, 77, 186
라마, 70, 154
나하, 43, 140
하가, 94, 181
자사, 98, 183
파타, 82, 183
바카, 56, 158
나가, 71, 142
다차, 41, 148
파자, 66, 142
카아, 41, 142
다타, 70, 146
라타, 47, 182
나카, 61, 199
나다, 69, 163
차차, 56, 169
자사, 49, 168
차파, 60, 196
바하, 69, 146
하바, 96, 196
가차, 99, 141
차바, 51, 183
마파, 76, 155
다하, 65, 155
하파, 97, 172
다마, 59, 145
자사, 62, 153
바사, 98, 164
마하, 64, 151
카아, 89, 178
아가, 42, 148
자가, 79, 143
바라, 99, 142
파가, 53, 184
파하, 98, 159
아자, 54, 153
하파, 76, 191
마다, 95, 187
파아, 94, 176
타하, 95, 184
다바, 43, 199
카마, 74, 154
사마, 85, 189
하사, 44, 190
라카, 42, 150
라카, 64, 146
하사, 56, 197
사타, 45, 178
차차, 74, 174
나가, 70, 164
파라, 70, 146
나자, 74, 163
나다, 99, 195
하타, 52, 164
타자, 89, 152
나라, 42, 157
자차, 60, 183
하나, 94, 151
가하, 75, 147
나파, 52, 177
자타, 60, 144
아아, 60, 197
하다, 99, 176
타마, 43, 181
가사, 60, 156
차자, 83, 190
가파, 63, 186
파가, 59, 144
가차, 45, 178
타바, 88, 148
가라, 64, 192
가카, 97, 170
카다, 70, 161
하마, 65, 199
타아, 64, 197
하다, 85, 194
카마, 45, 194
자다, 84, 171
마마, 46, 156
타아, 55, 144
라바, 70, 176
바카, 42, 196
다하, 74, 158
나나, 99, 198
라바, 78, 185
가다, 90, 178
파사, 54, 159
카다, 97, 179
하타, 78, 164
바바, 78, 141
가사, 43, 163
하자, 65, 165
사자, 85, 141
사하, 85, 194
차나, 72, 176
다바, 83, 181
파파, 65, 188
사라, 52, 196
마파, 53, 181
자나, 91, 170
마파, 46, 167
아다, 54, 177
카나, 77, 169
카자, 75, 161
파나, 66, 178
다라, 96, 189
나다, 86, 147
나하, 66, 151
카다, 97, 190
하파, 70, 167
타카, 78, 196
카파, 44, 150
라차, 82, 184
가하, 61, 187
파하, 72, 169
다카, 87, 147
차자, 94, 147
차라, 54, 170
자자, 42, 144
타마, 54, 193
타하, 92, 141
나카, 63, 187
하마, 64, 155
라하, 90, 199
라마, 55, 171
바다, 40, 187
타자, 48, 155
라가, 50, 188
차가, 72, 186
자차, 73, 147
차자, 70, 164
바가, 65, 190
하다, 43, 158
자카, 53, 179
마아, 42, 189
사하, 55, 181
카바, 88, 175
파차, 75, 150
아카, 43, 179
라타, 89, 144
나바, 76, 172
나아, 95, 184
바마, 46, 144
카사, 72, 143
바마, 83, 176
가하, 80, 156
다라, 40, 178
가나, 73, 197
라라, 43, 168
사아, 92, 156
바하, 74, 153
자바, 65, 175
사아, 83, 169
자차, 52, 183
자파, 80, 195
자다, 43, 171
파라, 99, 170
가바, 44, 189
카마, 82, 172
다나, 41, 147
가하, 85, 180
나라, 70, 160
아카, 82, 152
아가, 61, 151
다바, 81, 156
사파, 47, 187
카마, 74, 180
하라, 80, 172
나마, 44, 170
라바, 80, 142
파바, 42, 156
라바, 78, 153
가하, 66, 141
카라, 65, 194
아마, 71, 169
마사, 72, 150
나타, 86, 151
가하, 58, 199
파파, 42, 154
다하, 40, 173
사사, 84, 160
차가, 59, 171
자아, 71, 160
카자, 47, 180
라차, 93, 191
다하, 45, 193
나아, 51, 160
카카, 68, 189
타바, 60, 147
하차, 80, 143
가나, 68, 185
나차, 86, 144
카아, 98, 152
파하, 71, 184
파가, 44, 176
가차, 63, 196
자마, 67, 150
아하, 58, 147
카하, 94, 183
차자, 57, 147
사마, 61, 155
라라, 64, 166
바바, 93, 187
파카, 61, 175
타사, 94, 174
하바, 93, 172
바사, 86, 150
카파, 70, 170
가차, 99, 150
사자, 59, 193
라차, 76, 178
라나, 93, 192
아마, 87, 153
차다, 79, 188
가바, 99, 160
바카, 56, 160
타타, 59, 160
바가, 63, 194
다마, 87, 142
하하, 47, 143
자라, 60, 162
카아, 86, 183
자파, 87, 161
아가, 55, 199
바다, 62, 198
카마, 55, 156
아자, 51, 144
아자, 85, 191
바차, 42, 193
나차, 74, 160
자자, 67, 180
차자, 55, 172
자자, 86, 172
타바, 71, 185
가자, 89, 146
라아, 48, 169
차타, 67, 184
바가, 99, 150
파바, 58, 175
라카, 82, 158
파타, 49, 162
가마, 71, 160
라아, 57, 151
라차, 64, 193
아마, 41, 165
사차, 57, 187
타카, 51, 153
사사, 61, 173
카사, 45, 164
차다, 88, 192
자차, 72, 174
바마, 88, 162
타차, 97, 164
자타, 72, 155
차차, 59, 197
하차, 46, 152
나사, 41, 147
카나, 95, 198
사사, 92, 177
파사, 67, 154
차카, 69, 143
카마, 92, 159
마라, 92, 158
바파, 62, 176
라하, 60, 183
나자, 84, 175
아파, 91, 198
파가, 70, 171
사타, 41, 154
카아, 40, 146
타사, 50, 173
타차, 57, 176
나사, 96, 140
하바, 71, 141
사다, 85, 177
가가, 40, 186
마아, 96, 164
카나, 75, 155
바라, 42, 144
다가, 76, 163
다타, 57, 149
사자, 62, 144
사아, 71, 140
하마, 78, 150
마가, 74, 170
바파, 72, 166
차라, 53, 154
하바, 48, 167
나아, 62, 149
사라, 89, 199
라카, 55, 140
파가, 63, 178
차바, 59, 170
가바, 43, 153
라나, 81, 167
아라, 76, 160
파바, 60, 162
차자, 96, 155
차타, 51, 152
마마, 46, 162
라차, 74, 186
차차, 54, 159
자차, 97, 156
타다, 97, 146
타다, 65, 177
사라, 64, 169
바하, 77, 187
아차, 86, 196
다바, 79, 144
마가, 71, 174
라하, 52, 184
마라, 90, 189
바마, 86, 154
사사, 50, 164
자바, 90, 164
바하, 95, 166
마사, 63, 140
자타, 80, 150
하바, 56, 164
라라, 41, 145
라바, 45, 180
파자, 45, 140
파라, 69, 181
가파, 42, 184
자카, 66, 178
마가, 46, 179
차카, 49, 168
사자, 93, 141
바바, 84, 192
가카, 43, 184
다자, 57, 189
자차, 80, 145
자마, 49, 187
바라, 55, 168
카카, 43, 152
자바, 99, 152
다사, 41, 183
바마, 42, 199
사파, 66, 163
타가, 88, 178
사라, 99, 171
나아, 75, 196
라바, 75, 152
자사, 86, 182
자가, 52, 147
사카, 81, 158
차사, 80, 146
가아, 58, 149
타사, 66, 146
바나, 70, 146
하가, 75, 147
타가, 71, 147
가라, 59, 192
라아, 90, 183
타나, 88, 144
자바, 53, 141
마파, 64, 194
마다, 78, 167
하자, 45, 150
바다, 61, 158
카라, 88, 166
파타, 45, 170
하아, 84, 185
라카, 46, 159
다사, 55, 144
바차, 93, 184
파아, 58, 141
바차, 97, 158
바다, 78, 147
다하, 67, 163
차파, 90, 159
파하, 63, 143
타파, 95, 192
다카, 84, 168
가자, 80, 191
타파, 85, 145
라카, 45, 150
하타, 54, 158
다나, 69, 154
마파, 62, 188
차하, 56, 156
자아, 84, 199
카파, 78, 196
나마, 75, 189
라마, 64, 195
라하, 52, 159
마카, 91, 172
바파, 67, 186
가바, 54, 199
타하, 43, 142
마바, 87, 149
파자, 40, 181
마다, 55, 164
사바, 64, 175
바마, 98, 144
타파, 56, 155
타자, 65, 199
파마, 61, 177
마바, 93, 155
가라, 80, 170
마가, 82, 158
바카, 67, 191
파파, 72, 148
라자, 45, 141
바가, 42, 174
바타, 57, 153
자라, 75, 186
사자, 68, 172
차차, 63, 185
마마, 80, 151
사자, 78, 193
차바, 94, 155
차자, 78, 186
라나, 91, 143
다사, 69, 185
자가, 48, 154
사아, 73, 165
타파, 86, 141
나차, 91, 159
차타, 56, 188
하파, 96, 180
사다, 69, 189
바바, 48, 176
라카, 83, 159
하다, 96, 182
자차, 72, 169
나차, 59, 143
나파, 85, 140
차다, 45, 177
마사, 82, 154
나다, 60, 173
파나, 78, 145
나마, 65, 162
아나, 49, 185
아바, 70, 158
사다, 46, 149
카차, 89, 165
파사, 51, 180
라나, 82, 150
라라, 81, 149
파다, 51, 141
자자, 90, 182
자자, 93, 169
바마, 83, 176
가파, 78, 171
자다, 86, 171
라하, 81, 193
자가, 61, 158
하아, 78, 148
나아, 70, 171
하다, 46, 151
파다, 97, 140
자타, 60, 161
사아, 87, 164
마아, 47, 195
바바, 78, 157
아다, 55, 144
마라, 83, 168
바다, 52, 185
바하, 90, 186
나파, 85, 175
마파, 44, 158
아사, 83, 170
바마, 44, 169
자아, 74, 167
카라, 41, 158
아가, 82, 181
사차, 42, 141
라사, 94, 184
차라, 62, 151
자자, 84, 152
하카, 45, 149
나차, 91, 193
다파, 64, 140
타차, 78, 146
아파, 72, 189
하차, 41, 199
라자, 53, 163
가타, 69, 167
차아, 92, 172
마파, 55, 149
하나, 82, 166
라카, 95, 147
바차, 43, 150
카타, 47, 166
라바, 60, 192
다사, 64, 184
카바, 96, 169
마카, 59, 185
자라, 62, 183
자마, 79, 162
하다, 86, 188
차바, 90, 195
차사, 97, 154
파하, 41, 152
카하, 67, 153
사타, 77, 166
하차, 90, 160
바다, 91, 174
나카, 45, 186
아아, 88, 185
타다, 78, 192
자나, 85, 176
마아, 50, 191
아다, 86, 149
사라, 64, 188
다아, 95, 182
차다, 57, 164
마타, 59, 167
파가, 47, 193
타타, 84, 148
타하, 49, 174
바라, 80, 187
자파, 95, 169
마다, 47, 155
타바, 75, 163
사마, 90, 154
차타, 53, 150
바가, 46, 147
하마, 47, 180
바바, 92, 180
다사, 61, 191
바다, 96, 186
하타, 65, 186
하다, 58, 142
마나, 69, 146
파마, 52, 144
다나, 98, 193
파마, 76, 177
타다, 64, 160
바나, 41, 188
하아, 79, 193
바타, 84, 144
카타, 97, 178
자가, 50, 172
아가, 75, 178
자차, 68, 178
바라, 75, 145
라라, 60, 144
차차, 91, 197
나아, 66, 188
차차, 60, 176
마하, 70, 164
파사, 51, 188
아타, 57, 148
파아, 94, 178
바가, 93, 195
타가, 61, 150
카나, 71, 159
다파, 77, 166
파마, 89, 176
파사, 47, 197
하차, 80, 166
마카, 96, 196
다마, 99, 153
나하, 92, 183
아사, 97, 172
하타, 74, 167
마자, 63, 150
하차, 93, 161
타사, 88, 140
차아, 92, 192
하사, 60, 177
바바, 53, 189
카카, 60, 140
라바, 54, 164
차카, 70, 199
자다, 87, 162
라다, 69, 158
하가, 74, 196
사사, 67, 174
자다, 94, 189
자파, 40, 159
라카, 53, 169
하자, 58, 158
파자, 73, 160
라다, 49, 195
가타, 57, 169
다차, 75, 145
나타, 67, 171
가하, 91, 167
하바, 70, 149
다나, 92, 183
마바, 92, 146
아가, 57, 181
가자, 40, 164
아카, 83, 167
나차, 87, 167
타바, 50, 141
파자, 56, 165
라나, 55, 175
하가, 96, 166
카카, 65, 182
가자, 57, 151
마나, 92, 157
바라, 60, 197
하아, 75, 175
가하, 81, 168
자하, 58, 148
자타, 73, 150
타다, 87, 159
가라, 70, 145
바바, 40, 164
파라, 63, 159
자가, 57, 188
카하, 98, 148
하라, 59, 190
타나, 97, 199
마바, 83, 158
자카, 78, 188
자하, 70, 190
다다, 46, 173
타파, 44, 186
타라, 52, 188
가자, 94, 158
타아, 61, 197
사다, 89, 188
라바, 43, 188
마자, 89, 176
바사, 57, 176
타사, 74, 187
자바, 56, 198
마가, 79, 198
라파, 77, 141
아차, 73, 150
가차, 45, 141
가자, 40, 199
차가, 59, 158
나카, 75, 170
파사, 55, 199
나사, 96, 148
하차, 89, 190
사마, 62, 147
타아, 62, 194
다나, 86, 151
사하, 66, 176
다하, 81, 185
사사, 65, 183
파가, 66, 176
파사, 83, 172
마가, 85, 151
자가, 69, 162
바자, 87, 150
다하, 99, 198
나마, 68, 177
자타, 56, 182
카사, 79, 154
바카, 45, 153
자자, 40, 184
나아, 50, 196
나사, 72, 149
아하, 79, 176
카마, 78, 181
나카, 90, 144
나카, 58, 149
파나, 63, 143
다하, 48, 170
사타, 74, 198
카카, 58, 155
카카, 73, 156
카라, 45, 143
하나, 62, 160
마다, 68, 146
파카, 69, 184
나나, 92, 163
마사, 96, 175
하나, 65, 173
파라, 56, 141
나바, 55, 183
나라, 97, 195
바아, 69, 147
파나, 45, 178
하바, 60, 161
타타, 51, 177
파라, 75, 143
가차, 72, 178
바아, 58, 142
파타, 94, 194
마카, 52, 194
사카, 94, 196
바자, 88, 181
차바, 96, 149
라라, 88, 178
카파, 78, 161
파사, 65, 192
바라, 49, 158
바마, 74, 189
타차, 94, 170
나아, 77, 177
자카, 57, 189
파카, 72, 181
파다, 80, 181
라자, 67, 172
타타, 75, 193
가바, 52, 151
차차, 96, 195
차파, 45, 156
마마, 93, 186
파자, 41, 181
라자, 71, 187
사마, 50, 179
다파, 97, 169
자카, 79, 165
마파, 72, 194
가라, 52, 183
카나, 49, 163
가다, 93, 187
바라, 79, 153
타자, 65, 198
자마, 55, 155
바파, 73, 168
다파, 45, 141
자마, 60, 190
카하, 85, 192
라가, 44, 143
라라, 62, 173
다가, 88, 188
자마, 78, 144
바차, 48, 192
하파, 52, 144
라자, 49, 142
사바, 46, 187
카나, 71, 150
자카, 55, 152
마사, 88, 148
라가, 87, 155
카타, 80, 166
마가, 46, 188
아라, 53, 184
나자, 56, 167
사아, 66, 161
타사, 62, 183
바하, 43, 146
라카, 42, 168
자나, 53, 196
카타, 67, 189
타카, 76, 189
다차, 71, 166
바차, 99, 179
마마, 81, 196
라다, 96, 178
라카, 97, 156
차나, 66, 145
차자, 82, 165
카라, 45, 185
하가, 43, 165
카가, 40, 196
카아, 96, 143
마아, 62, 165
차사, 42, 175
바사, 60, 167
타파, 46, 178
나하, 46, 186
사라, 80, 173
사하, 49, 197
파사, 81, 198
가자, 95, 141
가하, 80, 160
아차, 72, 173
하자, 63, 156
파하, 58, 149
가다, 99, 184
다아, 96, 172
아마, 77, 149
차라, 79, 186
나바, 86, 184
가마, 90, 196
사라, 68, 195
가차, 63, 172
사자, 82, 167
차바, 40, 169
라카, 92, 191
라자, 65, 149
자가, 66, 196
가하, 70, 198
파자, 73, 157
차다, 93, 159
자하, 89, 152
자사, 45, 193
나라, 96, 143
가타, 83, 151
차바, 51, 197
파하, 59, 162
하아, 84, 187
마차, 79, 175
라나, 92, 191
타자, 89, 170
마마, 45, 176
나아, 82, 159
타사, 46, 163
자가, 52, 182
카차, 42, 160
사바, 80, 179
마마, 68, 152
카자, 51, 174
차사, 96, 140
카하, 44, 144
나나, 75, 195
카자, 44, 173
타라, 56, 144
마나, 50, 199
바바, 76, 187
바다, 75, 174
차아, 72, 157
아카, 83, 182
카라, 77, 152
바차, 63, 161
아가, 98, 178
자카, 56, 148
사하, 92, 168
라차, 80, 174
카나, 55, 147
차바, 76, 164
파가, 84, 147
타라, 94, 155
라바, 73, 178
라하, 53, 184
가라, 82, 191
다마, 59, 168
차파, 67, 170
마바, 83, 188
라타, 67, 189
카나, 53, 140
아사, 61, 162
마바, 63, 190
다라, 71, 183
가자, 63, 158
하차, 62, 176
하바, 64, 162
아마, 49, 193
하다, 42, 159
가다, 96, 194
라사, 51, 147
마하, 54, 176
파나, 92, 154
카사, 66, 191
아하, 87, 141
차카, 40, 195
파마, 81, 173
사가, 53, 177
바파, 44, 150
자자, 85, 152
바마, 48, 147
마파, 41, 175
마차, 81, 196
아파, 59, 154
차타, 76, 170
가자, 72, 194
하나, 96, 161
사하, 81, 198
마다, 99, 193
하다, 74, 141
마하, 78, 170
타아, 98, 162
마라, 81, 146
사나, 87, 178
마다, 64, 175
자라, 89, 166
아하, 59, 185
라파, 93, 193
사마, 75, 187
하라, 59, 164
사가, 44, 187
바사, 72, 170
라라, 50, 144
나차, 90, 186
자바, 68, 160
